sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0111,train,lhs,2274,118,2041,825,729,3713,245932.75451760183,245848.563439408,7252.568491389547,366.3100258058169,717.9544580735991,50,0.00291931206756851
train-0112,train,dr-edge-mastery,1632,211,82,2042,330,2665,178525.6172546192,178345.93139359332,6002.843573359005,303.18938550887424,594.2402763556429,50,0.0033285994777327533
train-0113,train,lhs,2001,732,384,320,1824,3260,217421.79413863993,217094.93354576462,6868.706258678779,346.9220552493032,679.9547340326644,50,0.0031273531557700625
train-0114,train,lhs,1796,255,2457,506,273,3491,204132.0000587386,203824.9944460795,6213.10672434875,313.809278358767,615.054883870334,50,0.0030130253154495774
train-0115,train,lhs,1900,1012,355,1169,165,2701,207341.53439290173,207238.0047605101,6551.315678133809,330.89141012158296,648.5352469194625,50,0.0031278597837060516
train-0116,train,lhs,1809,777,1912,494,133,3316,211710.30396393177,211610.2388097483,5908.539006412662,298.4262855956871,584.904772066892,50,0.002762760059928589
train-0117,train,lhs,2090,431,1226,639,568,2864,215776.57749088047,216006.20714811422,6637.0826043996785,335.2232940618774,657.0255834314107,50,0.0030449346776722282
train-0118,train,lhs,1841,970,114,1091,968,3143,215301.60145754676,215012.89789916293,7571.8852324038935,382.43795672850507,749.5646218412302,50,0.0034814632904113796
train-0119,train,lhs,1951,212,840,1833,487,3372,226703.5157669785,226746.32360650905,7284.910693034971,367.9435536702442,721.1561138570386,50,0.003181053948004461
train-0120,train,dr-edge-versatility,1734,525,70,349,2302,3246,193281.95898726708,193515.94373819593,6334.445360637988,319.93780496877054,627.0665753095609,50,0.003244309911774386
train-0121,train,lhs,1805,466,676,1236,690,3068,213411.31378874776,213092.66124330918,7011.930370505098,354.1559652994325,694.1329372046054,50,0.003252559224164262
train-0122,train,lhs,1612,1553,200,1204,247,3204,204128.04382861682,204364.87092576292,6245.216402485577,315.4310620125005,618.2335214237766,50,0.003028655494013538
train-0123,train,lhs,1828,986,2248,370,104,3708,222703.01765510152,222733.78166812894,6377.980649598177,322.136669114818,631.3762698446209,50,0.0028350593381829634
train-0124,train,lhs,1715,2442,47,72,438,2999,186483.82391053988,186404.80021609383,5996.758618992096,302.88204890201337,593.6379076747978,50,0.003183321186933501
train-0125,train,lhs,1923,90,438,2641,169,3338,209174.63210668927,209085.81729155776,7294.594218491042,368.43264556422855,722.1147163548032,50,0.0034522098070978776
train-0126,train,lhs,2061,474,156,2275,118,3023,211893.00249542829,211815.0600796545,7227.322475052968,365.03490942370684,715.4552758874585,50,0.0033764931709006994
train-0127,train,lhs,1621,93,362,997,2051,3503,202363.13650806693,202340.47029015882,6972.112876970259,352.1448781788371,690.1912788767186,50,0.003410657152219051
train-0128,train,dr-edge-crit,2137,2381,37,224,239,2881,204320.10401185244,203955.40321968324,6759.094170633221,341.38580876665816,669.1038903123336,50,0.003274782447612299
train-0129,train,lhs,2279,673,547,1117,899,3236,247020.36194279997,247371.08414499156,8170.837963591556,412.68963800229074,808.8568276359183,50,0.003274454062306075
train-0130,train,lhs,2180,505,783,365,981,2634,213253.3987121321,212719.28650799033,6812.874385046638,344.10211978847195,674.4277620882579,50,0.0031625651275019482
train-0131,train,lhs,2224,1512,185,444,618,2759,217277.00248278514,217212.09717938915,6696.848635596416,338.241934486436,662.9420099484448,50,0.003051137499013361
train-0132,train,lhs,1698,83,1397,713,861,3054,198713.79189394275,198769.81732922903,5828.019671417401,294.3594450391313,576.9339110416423,50,0.002903341059233386
train-0133,train,lhs,1931,833,854,1673,401,3761,247559.81791728313,247215.50504488943,7534.8233697534715,380.56604998539666,745.8957520406937,50,0.003012992004582581
train-0134,train,lhs,2249,2,340,2361,95,2798,210799.66837251413,210628.08293555301,6681.6577316399125,337.47467797215046,661.4382148128749,50,0.0031377573784604628
train-0135,train,lhs,2086,1182,968,482,242,2874,223543.80958036878,223005.07077986593,6723.371005243429,339.5815164457602,665.5675423442239,50,0.002977347230476262
train-0136,train,dr-edge-haste,1787,261,2601,311,259,3432,198510.34647974183,198418.22870193585,6229.292948713112,314.62680614518473,616.6572088887839,50,0.0031064235180895943
train-0137,train,lhs,1862,393,996,190,1226,2805,200031.56504390016,199625.98255307178,6536.531016210621,330.1446719284803,647.071666954452,50,0.0032348477942090873
train-0138,train,lhs,2169,577,179,2757,86,3599,231667.24218573273,231680.79137672007,7446.577931513938,376.1089822862571,737.1600598698509,50,0.0031819779650972555
train-0139,train,lhs,1925,1228,559,176,1164,3127,216686.56526333728,216098.78722221038,6650.9389091193325,335.92314313540993,658.3972624107562,50,0.003038477542946014
train-0140,train,lhs,2040,559,382,1933,645,3519,235141.55507000274,235183.15260727794,8056.515131828214,406.915463031983,797.5396526486658,50,0.003391742699036053
train-0141,train,lhs,2206,434,530,1734,918,3616,251689.37613105195,251193.5743066634,8017.385538197982,404.93912010333935,793.6660916857068,50,0.0031533555523315113
