sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0158,train,lhs,2209,1273,915,1113,590,3891,354379.2395862284,353971.89643100725,19755.342178298684,997.7954584954016,1955.6431634555295,50,0.005518503752474128
train-0159,train,lhs,2173,279,21,58,2259,2617,236192.39028075844,235073.05591802686,16431.767636885023,829.9295944945036,1626.6321156342242,50,0.006886894678108259
train-0160,train,dr-edge-crit,1865,2256,573,334,132,3295,266638.65727560176,266706.84132643935,13827.096049244297,698.3738128955973,1368.7875216280515,50,0.005133492403591172
train-0161,train,lhs,1792,391,887,780,947,3005,263421.8167558913,262333.33749467187,16316.486036634047,824.106994402825,1615.2200291530955,50,0.006131686619752887
train-0162,train,lhs,1857,1596,401,4,1648,3649,284217.0474833324,282372.90735033364,17161.495712965414,866.7864281386935,1698.8701821930429,50,0.005977369046776377
train-0163,train,lhs,1807,378,44,487,2494,3403,244657.16230901293,243433.47344674324,16208.798279906974,818.6679413290764,1604.5596810138209,50,0.006558400603809793
train-0164,train,lhs,1681,678,278,813,1070,2839,247868.27381714195,247743.07289613408,17050.071462010506,861.1586536073472,1687.8399467936026,50,0.006809423089131449
train-0165,train,lhs,2229,2714,898,114,119,3845,300478.7469793037,300405.63456145447,14804.883767405105,747.7595504721994,1465.5817886710456,50,0.004877489018456242
train-0166,train,lhs,2245,1057,469,1622,563,3711,329624.62798413873,329027.07051111845,21910.68251406001,1106.6565847226675,2169.007050272021,50,0.0065802335933964
train-0167,train,lhs,1840,1406,675,530,789,3400,285797.7277338938,287571.2463289844,16716.48951259204,844.3102208562599,1654.817625390888,50,0.0057901706864922605
train-0168,train,dr-edge-haste,2053,305,2006,123,293,2727,225094.93074381803,223796.368660797,12486.281707968994,630.65246196503,1236.0561127609033,50,0.005491265879139973
train-0169,train,lhs,1603,197,901,962,1128,3188,256961.15580826462,257216.4085703626,15732.143659026155,794.5932474213099,1557.374147994856,50,0.006060737635990842
train-0170,train,lhs,1816,492,2672,36,135,3335,223839.90616945378,223737.72615183113,11496.079265872164,580.6396861397338,1138.0328733329948,50,0.005084137555309143
train-0171,train,lhs,1772,255,671,97,2259,3282,243102.33845579997,243500.45812273,15126.619996621992,764.009684003103,1497.4314651497018,50,0.006159675281864718
train-0172,train,lhs,2278,1090,359,726,520,2695,286051.9386835587,284844.10189141764,15495.821653902774,782.6571836808567,1533.979892936023,50,0.005362592192157692
