left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0004,test-0159,1.5897990520724354,1.331312962538892,0.3889259339100981
test-0005,test-0010,-4.4711003133033005,-4.9330514006526975,-4.073037016570827
test-0005,test-0013,1.8356851784990418,0.4366724442066102,1.3906190996234467
test-0005,test-0014,6.951437739722685,7.423252380891104,6.488320290764438
test-0005,test-0017,13.316521099805628,12.92161902081331,13.040762921913435
test-0005,test-0019,-5.62003217000736,-5.383832853984377,-4.898816913714732
test-0005,test-0020,-7.392675547830767,-7.796141610926294,-7.7866000317861035
test-0005,test-0034,-1.559017662473336,-2.4575497583210666,-1.8850770626141982
test-0005,test-0040,-10.989002767915318,-11.921897227533373,-10.987952420271585
test-0005,test-0041,9.115343516536608,10.119280517968996,9.311186492019146
test-0005,test-0043,-2.7620809144903182,-2.9728006986788165,-3.5508219304892044
test-0005,test-0047,-1.7139239511993782,-0.9146703982847811,-1.808492718362565
test-0005,test-0053,9.687823505509462,8.1423928564192,8.250113935598705
test-0005,test-0057,3.3207420871075826,3.386821452577692,2.9137685057703444
test-0005,test-0063,-8.111563770295644,-8.400954539314963,-8.012056351526779
test-0005,test-0072,-12.847511531909026,-12.890327568792175,-12.926951504804615
test-0005,test-0073,2.3050475533161836,3.1663020941353266,1.9591909113812023
test-0005,test-0076,-1.9561939599902174,-2.3954015109679707,-1.2244843780820973
test-0005,test-0094,3.071744070629832,1.665685760646566,2.2092787683723527
test-0005,test-0098,4.011245491725399,3.8777889232664156,3.8641708048383094
test-0005,test-0104,-7.660598257050228,-7.817339152452117,-7.957099531980193
test-0005,test-0110,-3.3145109769159657,-4.00976731637113,-3.6643665540630304
test-0005,test-0126,10.529924410826712,9.340331043267499,9.713405618520897
test-0005,test-0138,10.795087752744735,9.461177790251108,10.087605407454323
test-0005,test-0155,-0.6553665131643631,0.4804219306619483,-0.15608262263734377
test-0006,test-0018,0.4950817450742179,0.4194529942217494,0.515896969008213
test-0006,test-0027,12.688105400244499,13.55916288296227,13.078552122046549
test-0006,test-0030,5.536249326286551,6.329185451038337,5.477826562197229
test-0006,test-0033,14.098140642631925,13.647798267070538,13.334419037965773
test-0006,test-0046,4.759331983582505,3.152492076671356,3.4495895289698297
test-0006,test-0051,6.728521436079007,8.074235968841498,5.944981022704145
test-0006,test-0055,-1.7393838799322603,-0.5217427308345466,-1.7440475541018925
test-0006,test-0069,-5.8456363854619555,-4.970938257580729,-5.93503412068028
test-0006,test-0079,3.048464643754026,4.757220090409001,3.899611075387563
test-0006,test-0084,2.6767624327295394,3.864378022268621,3.6233463463150475
test-0006,test-0085,-4.002182243379958,-3.535630396464784,-3.7327797495372224
test-0006,test-0086,-4.958130968210791,-3.8929588676864495,-4.8279915040987245
test-0006,test-0093,2.007560584828719,3.828708924098359,2.342776130586785
test-0006,test-0115,0.14413145969621263,0.6234401824717588,0.13199122841780905
test-0006,test-0116,4.8062464572080525,4.4062353922163675,3.7834769940520063
test-0006,test-0118,-11.551815766292695,-10.790615371209952,-11.66474090133634
test-0006,test-0120,-11.28877929257144,-10.385562967346871,-11.173730647646817
test-0006,test-0123,12.542353438158438,12.37125371807622,12.458356289711563
test-0006,test-0129,5.017219412764881,5.596461624356565,5.104230973594041
test-0006,test-0155,1.604737458263218,3.834761679097489,2.26250568247195
test-0007,test-0018,-1.4518126617771294,-1.0014127884594468,-1.154873430641042
test-0007,test-0023,-0.8234824330513066,0.1217881803454392,-0.08924985865114358
test-0007,test-0041,9.43574606308065,12.185268357535978,10.098128122535938
test-0007,test-0047,-1.425320093657708,0.9443054783622364,-1.1016027163154753
test-0007,test-0055,-3.6429899133419896,-1.929291245191096,-3.377253264702747
test-0007,test-0069,-7.669691858811298,-6.315533733497847,-7.4985774543645185
test-0007,test-0098,4.316660540157296,5.826677870843175,4.611898851239137
test-0007,test-0115,-1.7959639761426172,-0.8003118777905995,-1.5323979084961432
test-0007,test-0126,10.854480684117298,11.39170472866638,10.50324286279317
test-0007,test-0131,13.018683516881769,13.895966229161166,13.47335501847249
test-0007,test-0138,11.120422642564055,11.51481872538632,10.880136551605398
test-0007,test-0150,-0.4364289270519424,-0.022353757321334752,0.14989551064119594
test-0008,test-0035,8.227937511452572,9.280633366435316,7.46769279326671
test-0008,test-0074,12.075875087378815,14.550057080095094,11.316648804639735
test-0008,test-0151,6.1318391408716515,8.866383322391103,4.90224781676753
test-0008,test-0153,9.823901464071742,12.879238255752556,8.70780209486218
test-0009,test-0022,1.5953915204083478,1.5899230226266485,1.9062205984852536
test-0009,test-0029,-6.440314161330668,-6.1403319169940636,-5.818036388544363
test-0009,test-0039,4.140717766410193,3.751299748552693,5.166770697544878
test-0009,test-0050,2.15586544688752,2.1680982173355385,2.0686489203058813
test-0009,test-0058,-4.452280448546883,-5.322462454514477,-4.3872176816528015
test-0009,test-0060,-3.7167993241186763,-3.547280284273336,-2.9923508445651787
test-0009,test-0062,-4.202172100302773,-3.895784654748185,-4.063104130339368
test-0009,test-0078,1.1569558837096348,0.24526654588317792,0.40432598406568215
test-0009,test-0081,-6.731690182839431,-6.435747785125352,-6.343394059297018
test-0009,test-0112,-8.1587763789422,-7.9821647326211265,-8.693297673588281
test-0009,test-0117,3.6134322771104674,3.2900141922196293,3.807092869273368
